ключ,где на сайте,русский,узбекский,исправление
ui.meta.title,Заголовок вкладки браузера (на всех страницах),"yourway.uz — узнайте, куда вам двигаться",yourway.uz — qaysi yoʻldan borishingizni bilib oling,
ui.meta.description,Заголовок вкладки браузера (на всех страницах),"Пройдите тесты бесплатно и получите личный маршрут: кто вы, какая цель вам подходит и как до неё дойти.","Testlardan bepul oʻting va shaxsiy yoʻl xaritangizni oling: kimsiz, qaysi maqsad sizga mos va unga qanday yetib borasiz.",
ui.common.brand,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",yourway.uz,yourway.uz,
ui.common.skipToContent,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",Перейти к содержимому,Asosiy matnga oʻtish,
ui.common.startFree,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",Начать бесплатно,Bepul boshlash,
ui.common.backHome,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",На главную,Bosh sahifaga,
ui.common.placeholderNote,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",Текст-заглушка: будет заменён перед запуском.,Vaqtinchalik matn: ishga tushirishdan oldin almashtiriladi.,
ui.common.language,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",Язык,Til,
ui.common.menu,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",Меню,Menyu,
ui.common.login,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",Войти,Kirish,
ui.common.account,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",Аккаунт,Akkaunt,
ui.common.sum,"Общие элементы интерфейса (шапка, кнопки, переключатель языка)",{n} сум,{n} soʻm,
ui.footer.howItWorks,Подвал сайта (низ каждой страницы),Как это работает,Bu qanday ishlaydi,
ui.footer.pricing,Подвал сайта (низ каждой страницы),Цены,Narxlar,
ui.footer.faq,Подвал сайта (низ каждой страницы),FAQ,Savol-javob,
ui.footer.offer,Подвал сайта (низ каждой страницы),Оферта,Ommaviy oferta,
ui.footer.privacy,Подвал сайта (низ каждой страницы),Политика конфиденциальности,Maxfiylik siyosati,
ui.footer.refund,Подвал сайта (низ каждой страницы),Условия возврата,Pulni qaytarish shartlari,
ui.footer.contactsTitle,Подвал сайта (низ каждой страницы),Контакты,Aloqa,
ui.footer.contactsValue,Подвал сайта (низ каждой страницы),Контакты появятся перед запуском.,Aloqa maʼlumotlari ishga tushirishdan oldin qoʻshiladi.,
ui.footer.tagline,Подвал сайта (низ каждой страницы),Навигатор возможностей для Узбекистана.,Oʻzbekiston uchun imkoniyatlar navigatori.,
ui.footer.rights,Подвал сайта (низ каждой страницы),Все права защищены.,Barcha huquqlar himoyalangan.,
ui.landing.hero.title,Главная страница (/),"Узнайте, кем вам быть — и как туда дойти",Kim boʻlishingizni va bunga qanday erishishni bilib oling,
ui.landing.hero.subtitle,Главная страница (/),"Научные тесты личности и интересов + ИИ-анализ. Получите свой портрет и подходящие направления бесплатно, а личный маршрут из точки А в точку Б — в полном отчёте.","Shaxsiyat va qiziqishlarni oʻlchaydigan ilmiy testlar, natijani esa sunʼiy intellekt tahlil qiladi. Portretingiz va sizga mos yoʻnalishlar — bepul. Hozirgi holatingizdan maqsadingizgacha boʻlgan shaxsiy yoʻl esa toʻliq hisobotda.",
ui.landing.hero.note,Главная страница (/),Без регистрации · около 20 минут · мы не собираем личные данные,Roʻyxatdan oʻtish shart emas · taxminan 20 daqiqa · shaxsiy maʼlumotlaringizni yigʻmaymiz,
ui.landing.how.title,Главная страница (/),Как это работает,Bu qanday ishlaydi,
ui.landing.how.steps.0.title,Главная страница (/),Выберите путь,Yoʻlni tanlang,
ui.landing.how.steps.0.text,Главная страница (/),"Скажите, знаете ли вы уже свою цель или хотите разобраться.",Maqsadingizni allaqachon bilasizmi yoki hali aniqlab olmoqchimisiz — shuni belgilang.,
ui.landing.how.steps.1.title,Главная страница (/),Пройдите тесты,Testlardan oʻting,
ui.landing.how.steps.1.text,Главная страница (/),"Личность, интересы, ценности и то, как вы лучше учитесь. Один вопрос на экран.","Shaxsiyatingiz, qiziqishlaringiz, qadriyatlaringiz va qanday oʻrganishingiz. Har ekranda bitta savol.",
ui.landing.how.steps.2.title,Главная страница (/),Получите портрет,Portretingizni oling,
ui.landing.how.steps.2.text,Главная страница (/),"Бесплатно: ваш тип, сильные стороны и 2–3 подходящих направления.","Bepul: tipingiz, kuchli tomonlaringiz va sizga mos 2–3 ta yoʻnalish.",
ui.landing.how.steps.3.title,Главная страница (/),Откройте маршрут,Yoʻlingizni oching,
ui.landing.how.steps.3.text,Главная страница (/),"Полный отчёт: цель, шаги, сроки и деньги (ориентировочно), запасные варианты.","Toʻliq hisobot: maqsad, qadamlar, muddat va xarajatlar (taxminiy), zaxira yoʻllar.",
ui.landing.how.more,Главная страница (/),Подробнее,Batafsil,
ui.landing.sample.title,Главная страница (/),Пример отчёта,Hisobot namunasi,
ui.landing.sample.subtitle,Главная страница (/),Так выглядит бесплатная часть. Данные вымышленные.,Bepul qismi shunday koʻrinadi. Maʼlumotlar oʻylab topilgan.,
ui.landing.sample.typeLabel,Главная страница (/),Исследователь-созидатель,Izlanuvchan ijodkor,
ui.landing.sample.typeCode,Главная страница (/),INTP — Логик,INTP — Tahlilchi,
ui.landing.sample.portrait,Главная страница (/),"Вы любите докапываться до сути и строить своё. Вам скучно там, где всё расписано заранее, и интересно там, где нужно придумать решение.","Siz har narsaning tagiga yetishni va oʻzingizga xos narsa yaratishni yaxshi koʻrasiz. Hammasi oldindan belgilab qoʻyilgan joyda zerikasiz, yechim oʻylab topish kerak boʻlgan joyda esa ishtiyoqingiz ortadi.",
ui.landing.sample.strengthsTitle,Главная страница (/),Сильные стороны,Kuchli tomonlar,
ui.landing.sample.strengths.0,Главная страница (/),Аналитическое мышление,Tahliliy fikrlash,
ui.landing.sample.strengths.1,Главная страница (/),Самостоятельность,Mustaqillik,
ui.landing.sample.strengths.2,Главная страница (/),Любопытство к новому,Yangilikka qiziqish,
ui.landing.sample.directionsTitle,Главная страница (/),Подходящие направления,Mos yoʻnalishlar,
ui.landing.sample.directions.0,Главная страница (/),Анализ данных,Maʼlumotlar tahlili,
ui.landing.sample.directions.1,Главная страница (/),Разработка продуктов,Mahsulot ishlab chiqish,
ui.landing.sample.directions.2,Главная страница (/),Инженерия,Muhandislik,
ui.landing.sample.lockedTitle,Главная страница (/),В полном отчёте,Toʻliq hisobotda,
ui.landing.sample.locked.0,Главная страница (/),Проверка цели на реальность,Maqsadingiz qanchalik real ekanini baholash,
ui.landing.sample.locked.1,Главная страница (/),Главный маршрут: шаги и сроки,Asosiy yoʻl: qadamlar va muddatlar,
ui.landing.sample.locked.2,Главная страница (/),Варианты: здесь недорого / за рубежом / онлайн,"Uch xil yoʻl: shu yerda arzonroq, chet elda yoki onlayn",
ui.landing.sample.locked.3,Главная страница (/),Неожиданное направление для вас,Sizni hayron qoldirishi mumkin boʻlgan yoʻnalish,
ui.landing.sample.locked.4,Главная страница (/),Что сделать уже на этой неделе,Shu haftaning oʻzida nimadan boshlash kerak,
ui.landing.reviews.title,Главная страница (/),Отзывы,Fikrlar,
ui.landing.reviews.note,Главная страница (/),Пример отзывов. Настоящие появятся после запуска.,Fikrlar namunasi. Haqiqiylari ishga tushgandan keyin paydo boʻladi.,
